NEW SESSION
NEW SESSION
$155022NEW SESSION
?r???????????b??K?r??4844717,18.77??b??r??b??r???bj???rNEW SESSION
$155136,59NEW SESSION
b?b-4.9953284279?r????546898,3.3390??????b???b???r?????????b??r?b??b??r?b??r?bj???r?????????R$155835,59.181,8.82081,915.0,5,-3.28428593581,0.839855553131,6.42003075851,135,167.489098491,18.29,78,20.39,10.195,881.466063849
$155836,59.182,8.81982,920.0,5,-3.68096652901,2.09571793103,5.57425352103,125,165.822554115,18.28,86,20.38,10.19,405.683888361
$155837,59.183,8.81883,925.0,5,4.02281571792,-0.76167233938,5.71571238762,131,164.172592134,18.27,99,20.37,10.185,576.56281329
$155838,59.184,8.81784,930.0,5,-2.08517791593,-1.55918547667,7.20634366866,126,162.539047548,18.26,99,20.36,10.18,-413.571143146
$155839,59.185,8.81685,935.0,5,-0.310879775856,1.68183532635,8.09967362763,125,160.921757003,18.25,92,20.35,10.175,-583.705639036
$155840,59.186,8.81586,940.0,5,-0.49639373304,-0.494089660198,9.10962058103,128,159.320558767,18.24,95,20.34,10.17,-660.314111288
$155841,59.187,8.81487,945.0,5,-3.74833874635,-2.27311131722,5.42627117423,137,157.73529272,18.23,99,20.33,10.165,723.209937603
$155842,59.188,8.81388,950.0,5,-0.880445752003,3.65901690338,6.04654554678,139,156.165800334,18.22,79,20.32,10.16,-702.271592788
$155843,59.189,8.81289,955.0,5,-1.89215575099,-2.89799523778,6.34898428432,144,154.611924658,18.21,77,20.31,10.155,911.6281929
$155844,59.19,8.8119,960.0,5,0.0173103559987,-4.5970221552,5.21294525334,148,153.073510303,18.2,72,20.3,10.15,-550.96269018
$155845,59.191,8.81091,965.0,5,-1.09106002681,-0.251498205151,8.69032891914,152,151.550403427,18.19,60,20.29,10.145,-606.12402427
$155846,59.192,8.80992,970.0,5,1.09068983561,-0.823409778586,8.44339545553,148,150.042451718,18.18,64,20.28,10.14,-192.752962626
$155847,59.193,8.80893,975.0,5,-4.25668953304,0.644779248144,5.50475365867,148,148.549504379,18.17,50,20.27,10.135,245.525762332
$155848,59.194,8.80794,980.0,5,1.85273320515,0.00383081832169,7.95726283444,141,147.071412114,18.16,56,20.26,10.13,851.490984346
